City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Sorsk,RU,2022-04-30 13:10:28,54.0033,90.2467,60.21,50,86,5.5
159,Salon-De-Provence,FR,2022-04-30 13:10:29,43.6407,5.0954,76.08,28,0,19.57
160,Benghazi,LY,2022-04-30 13:10:29,32.1167,20.0667,71.92,56,68,15.95
161,Mul,IN,2022-04-30 13:10:30,20.0667,79.6667,104.58,10,1,4.65
162,Namibe,AO,2022-04-30 13:10:31,-15.1961,12.1522,80.08,67,7,10.09
163,Minden,DE,2022-04-30 13:09:20,52.2833,8.9167,56.08,62,75,5.75
164,Miquelon,PM,2022-04-30 13:10:31,47.0975,-56.3814,42.8,92,100,8.25
165,Meulaboh,ID,2022-04-30 13:10:32,4.1363,96.1285,81.64,77,100,1.7
166,Mormugao,IN,2022-04-30 13:10:32,15.4,73.8,84.7,75,13,11.79
167,Nizwa,OM,2022-04-30 13:10:33,22.9333,57.5333,96.87,19,100,16.78
168,Broome,US,2022-04-30 13:10:34,42.2506,-75.833,46.38,52,0,8.05
169,Erice,IT,2022-04-30 13:10:34,38.037,12.5865,63.36,59,16,8.28
170,Palasa,IN,2022-04-30 13:10:35,18.7667,84.4167,86.92,58,98,12.71
171,Chernenko,RU,2022-04-30 13:10:35,44.365,39.3103,66.27,63,86,8.63
172,Uthal,PK,2022-04-30 13:08:20,25.8072,66.6219,93.88,40,0,13.09
173,Shamkhal,RU,2022-04-30 13:10:36,43.0596,47.3373,67.98,74,100,6.8
174,Vozhega,RU,2022-04-30 13:10:37,60.4725,40.2213,38.52,42,100,8.7
175,Dunmore Town,BS,2022-04-30 13:10:37,25.5,-76.65,75.34,65,3,15.19
176,Besikduzu,TR,2022-04-30 13:10:38,41.052,39.2284,51.69,93,98,3.42
177,Andenes,NO,2022-04-30 13:10:38,69.3143,16.1194,35.58,64,75,12.66
178,Fairbanks,US,2022-04-30 13:08:46,64.8378,-147.7164,35.6,80,0,3.44
179,Szczecinek,PL,2022-04-30 13:10:39,53.7079,16.6994,59.94,41,100,3.8
180,Rio Gallegos,AR,2022-04-30 13:05:59,-51.6226,-69.2181,28.45,93,0,2.3
181,Soure,BR,2022-04-30 13:09:33,-0.7167,-48.5233,78.13,86,100,8.34
182,Uvat,RU,2022-04-30 13:10:40,59.1433,68.8953,42.96,37,86,4.83
183,Abonnema,NG,2022-04-30 13:10:41,4.7084,6.7931,90.54,53,100,9.82
184,Ibra,OM,2022-04-30 13:10:41,22.6906,58.5334,95.81,23,98,18.54
185,Iquique,CL,2022-04-30 13:06:44,-20.2208,-70.1431,62.64,66,35,3.85
186,Narsaq,GL,2022-04-30 13:11:42,60.9167,-46.05,48.42,57,54,3.42
187,Neunkirchen,DE,2022-04-30 13:11:43,49.35,7.1833,57.97,51,75,8.05
188,Yellowknife,CA,2022-04-30 13:09:18,62.456,-114.3525,22.55,68,96,9.31
189,Pecos,US,2022-04-30 13:11:43,31.4229,-103.4932,62.87,26,0,9.22
190,Saldanha,ZA,2022-04-30 13:11:44,-33.0117,17.9442,61.93,72,19,12.68
191,Fort Wellington,GY,2022-04-30 13:11:45,6.4,-57.6,82.58,73,11,13.4
192,Nagua,DO,2022-04-30 13:11:45,19.3832,-69.8474,77.05,83,40,0.0
193,Owando,CG,2022-04-30 13:11:46,-0.4819,15.8999,88.92,48,100,1.97
194,Mitsamiouli,KM,2022-04-30 13:11:46,-11.3847,43.2844,81.37,77,43,12.48
195,Birao,CF,2022-04-30 13:11:47,10.2849,22.7882,103.23,17,100,3.98
196,Kodinar,IN,2022-04-30 13:11:47,20.7903,70.7031,88.12,61,0,14.58
197,Labuhan,ID,2022-04-30 13:11:48,-6.8844,112.2051,81.32,81,100,7.02
198,Dunedin,NZ,2022-04-30 13:11:48,-45.8742,170.5036,57.79,71,21,10.0
199,Lavrentiya,RU,2022-04-30 13:11:49,65.5833,-171.0,22.98,90,100,9.98
200,Apac,UG,2022-04-30 13:11:50,1.9756,32.5386,81.05,52,100,1.92
201,Grand Gaube,MU,2022-04-30 13:11:50,-20.0064,57.6608,79.38,68,19,5.99
202,George,ZA,2022-04-30 13:11:51,-33.963,22.4617,63.18,60,0,7.87
203,Buta,CD,2022-04-30 13:11:51,2.7858,24.73,92.77,39,96,3.69
204,Port Lincoln,AU,2022-04-30 13:11:52,-34.7333,135.8667,59.65,74,2,7.16
205,Klaipeda,LT,2022-04-30 13:11:53,55.7172,21.1175,53.65,47,85,5.91
206,Lima,PE,2022-04-30 13:10:11,-12.0432,-77.0282,68.9,77,35,2.3
207,Xam Nua,LA,2022-04-30 13:11:54,20.4197,104.0439,66.24,98,79,2.06
208,Barrow,US,2022-04-30 13:11:55,71.2906,-156.7887,10.42,85,100,5.75
209,Show Low,US,2022-04-30 13:11:55,34.2542,-110.0298,39.61,28,0,0.0
210,Changji,CN,2022-04-30 13:11:56,44.0167,87.3167,75.99,12,0,22.37
211,Baker City,US,2022-04-30 13:11:52,44.7749,-117.8344,45.59,61,100,6.91
212,Ixtapa,MX,2022-04-30 13:11:57,20.7,-105.2,66.22,88,20,0.0
213,Suntar,RU,2022-04-30 13:11:57,62.1444,117.6319,38.26,97,100,9.33
214,Kirakira,SB,2022-04-30 13:11:58,-10.4544,161.9205,80.22,81,100,0.96
215,Yarmouth,US,2022-04-30 13:08:36,41.7057,-70.2286,49.24,70,75,24.0
216,Qinhuangdao,CN,2022-04-30 13:10:15,39.9317,119.5883,53.98,35,1,5.53
217,Asau,RO,2022-04-30 13:11:59,46.4333,26.4,60.28,53,60,6.87
218,Avarua,CK,2022-04-30 13:12:00,-21.2078,-159.775,78.85,83,20,8.05
219,Kenai,US,2022-04-30 13:12:00,60.5544,-151.2583,38.03,73,0,6.91
220,Todos Santos,MX,2022-04-30 13:12:01,23.45,-110.2167,62.62,61,7,5.82
221,Buckeye,US,2022-04-30 13:07:23,33.3703,-112.5838,70.2,22,0,5.75
222,Thompson,CA,2022-04-30 13:12:01,55.7435,-97.8558,35.55,98,100,7.11
223,Chapais,CA,2022-04-30 13:12:02,49.7834,-74.8492,33.01,72,6,7.2
224,Vyselki,RU,2022-04-30 13:12:03,45.5794,39.6597,58.03,78,100,12.64
225,Nanortalik,GL,2022-04-30 13:12:03,60.1432,-45.2371,39.49,82,100,4.54
226,Rolla,US,2022-04-30 13:12:04,37.9514,-91.7713,59.14,93,0,10.36
227,Iqaluit,CA,2022-04-30 13:10:00,63.7506,-68.5145,18.7,73,100,15.01
228,Morwell,AU,2022-04-30 13:12:05,-38.2333,146.4,52.39,85,5,2.1
229,Sola,VU,2022-04-30 13:12:06,-13.8833,167.55,81.95,72,33,5.06
230,Bengkulu,ID,2022-04-30 13:12:06,-3.8004,102.2655,79.41,85,100,2.53
231,Porto Murtinho,BR,2022-04-30 13:11:18,-21.6989,-57.8825,75.07,71,97,2.64
232,Mersing,MY,2022-04-30 13:12:07,2.4312,103.8405,81.55,79,100,3.76
233,Burnie,AU,2022-04-30 13:13:08,-41.0667,145.9167,58.91,93,83,17.87
234,Hami,CN,2022-04-30 13:13:09,42.8,93.45,67.51,13,1,4.23
235,Tuktoyaktuk,CA,2022-04-30 13:13:09,69.4541,-133.0374,16.52,98,86,6.82
236,Faanui,PF,2022-04-30 13:13:10,-16.4833,-151.75,80.08,75,20,16.87
237,Khash,IR,2022-04-30 13:13:11,28.2211,61.2158,87.85,16,0,20.2
238,Lewistown,US,2022-04-30 13:08:35,40.5992,-77.5714,56.01,73,0,0.0
239,Taybad,IR,2022-04-30 13:13:12,34.74,60.7756,92.21,15,100,11.03
240,Kichmengskiy Gorodok,RU,2022-04-30 13:13:12,59.9816,45.7854,38.79,64,100,8.41
241,Skjervoy,NO,2022-04-30 13:13:13,70.0311,20.9714,30.2,64,100,22.91
242,Gunjur,GM,2022-04-30 13:13:14,13.2019,-16.7339,91.47,29,74,2.3
243,Tuxpan,MX,2022-04-30 13:13:14,19.55,-103.4,64.17,62,1,3.11
244,Srednekolymsk,RU,2022-04-30 13:13:15,67.45,153.6833,4.73,96,38,5.48
245,Zaraza,VE,2022-04-30 13:13:16,9.3503,-65.3245,84.38,62,97,8.61
246,Opuwo,NA,2022-04-30 13:13:16,-18.0607,13.84,83.95,28,19,8.61
247,Erenhot,CN,2022-04-30 13:13:17,43.6475,111.9767,51.69,21,49,10.85
248,Batemans Bay,AU,2022-04-30 13:13:18,-35.7167,150.1833,59.09,80,72,3.4
249,Longyearbyen,SJ,2022-04-30 13:13:18,78.2186,15.6401,13.84,57,0,4.61
250,Tura,IN,2022-04-30 13:09:51,25.5198,90.2201,69.24,94,5,7.74
251,Rabo De Peixe,PT,2022-04-30 13:11:49,37.8,-25.5833,65.71,88,40,9.22
252,San Patricio,US,2022-04-30 13:13:20,28.017,-97.5169,78.69,88,2,8.81
253,Komsomolskiy,UZ,2022-04-30 13:13:21,40.4272,71.7189,86.72,23,0,6.91
254,Rodino,RU,2022-04-30 13:13:22,52.5,80.25,72.86,25,7,9.57
255,Tual,ID,2022-04-30 13:13:23,-5.6667,132.75,84.87,72,4,14.81
256,Calvinia,ZA,2022-04-30 13:13:24,-31.4707,19.776,66.78,24,2,4.9
257,Namatanai,PG,2022-04-30 13:13:24,-3.6667,152.4333,79.84,79,100,2.1
258,Skala Fourkas,GR,2022-04-30 13:13:25,39.9998,23.3841,63.64,71,99,4.97
259,Coahuayana,MX,2022-04-30 13:13:26,18.7333,-103.6833,68.18,52,2,3.62
260,Salalah,OM,2022-04-30 13:13:26,17.0151,54.0924,89.69,70,40,12.66
261,Ugoofaaru,MV,2022-04-30 13:13:27,5.6667,73.0,86.32,72,100,12.93
262,Ribeira Grande,PT,2022-04-30 13:13:27,38.5167,-28.7,64.8,88,40,12.66
263,Vila Franca Do Campo,PT,2022-04-30 13:13:28,37.7167,-25.4333,66.61,72,0,7.94
264,Antalaha,MG,2022-04-30 13:13:29,-14.9003,50.2788,79.47,81,75,10.63
265,Ferkessedougou,CI,2022-04-30 13:13:29,9.6,-5.2,101.68,25,64,4.32
266,Plettenberg Bay,ZA,2022-04-30 13:13:30,-34.0527,23.3716,65.73,57,0,10.71
267,Arbazh,RU,2022-04-30 13:13:31,57.6804,48.3065,39.42,82,100,11.68
268,Marathon,US,2022-04-30 13:13:31,44.9,-89.7668,46.35,67,100,17.27
269,Nekhayevskiy,RU,2022-04-30 13:13:32,50.4106,41.7561,55.11,43,100,5.5
270,Puerto Lempira,HN,2022-04-30 13:13:32,15.2667,-83.7667,78.94,78,40,0.0
271,Blagoyevo,RU,2022-04-30 13:13:33,63.3667,47.9167,36.19,53,100,7.4
272,Lagoa,PT,2022-04-30 13:14:33,39.05,-27.9833,60.71,86,0,14.05
273,San Agustin,MX,2022-04-30 13:14:34,20.5333,-103.4667,56.52,32,0,0.0
274,Ikalamavony,MG,2022-04-30 13:14:34,-21.15,46.5833,73.81,71,41,6.22
275,Male,MV,2022-04-30 13:14:35,4.1748,73.5089,86.25,71,100,15.46
276,Ossora,RU,2022-04-30 13:14:36,59.2353,163.0719,19.08,90,14,5.95
277,Marshall,US,2022-04-30 13:14:36,34.3834,-86.3333,68.31,74,0,3.44
