City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Cidreira,BR,-30.1811,-50.2056,63.5,75,100,4.61,light rain
147,Lensk,RU,60.7253,114.9278,17.74,92,15,2.8,few clouds
148,Ligayan,PH,4.6533,119.4706,84.25,69,35,1.7,scattered clouds
149,Mgachi,RU,51.05,142.2667,33.58,97,100,3.98,overcast clouds
150,Torrington,US,41.8007,-73.1212,54.43,77,100,3.0,overcast clouds
151,Glasgow,GB,55.8652,-4.2576,59.2,72,75,12.66,broken clouds
152,Castro,BR,-24.7911,-50.0119,72.1,66,32,5.99,scattered clouds
153,Bilara,IN,26.1792,73.7056,97.95,12,15,12.71,few clouds
154,Caravelas,BR,-17.7125,-39.2481,84.04,58,66,6.11,broken clouds
155,Stephenville,US,32.2207,-98.2023,74.16,77,0,11.5,clear sky
156,Kieta,PG,-6.2167,155.6333,79.47,82,22,1.63,few clouds
157,Luena,AO,-11.7833,19.9167,80.78,61,20,9.22,few clouds
158,Bandarbeyla,SO,9.4942,50.8122,86.38,73,54,16.51,broken clouds
159,Coffs Harbour,AU,-30.3,153.1333,59.13,88,40,1.14,scattered clouds
160,Loukhi,RU,66.0764,33.0381,35.85,98,100,11.5,light rain
161,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,27.19,80,0,2.24,clear sky
162,Sulangan,PH,11.1373,123.7228,83.86,75,95,10.94,overcast clouds
163,Gorin,RU,51.1983,136.6669,29.93,95,60,1.95,broken clouds
164,Enshi,CN,30.3,109.4833,58.06,75,84,1.92,broken clouds
165,Kaduy,RU,59.2,37.15,50.04,55,90,9.46,overcast clouds
166,Sitka,US,57.0531,-135.33,42.69,87,100,4.61,light rain
167,Pangody,RU,65.85,74.4859,23.18,88,100,5.37,overcast clouds
168,Piacabucu,BR,-10.4056,-36.4344,81.25,77,60,10.89,broken clouds
169,Lagoa,PT,39.05,-27.9833,61.07,79,10,4.03,clear sky
170,Banjar,ID,-8.19,114.9675,78.93,90,100,2.71,overcast clouds
171,Ilhabela,BR,-23.7781,-45.3581,79.0,75,9,4.18,clear sky
172,Mogadishu,SO,2.0371,45.3438,89.47,62,20,14.97,few clouds
173,Cuamba,MZ,-14.8031,36.5372,75.24,59,19,7.99,few clouds
174,Praia Da Vitoria,PT,38.7333,-27.0667,66.76,77,75,6.11,broken clouds
175,Kota Kinabalu,MY,5.9749,116.0724,82.38,83,20,2.3,few clouds
176,Tasiilaq,GL,65.6145,-37.6368,33.96,65,100,3.74,overcast clouds
177,Roseto Degli Abruzzi,IT,42.6664,14.0227,66.9,72,20,10.36,few clouds
178,Smirnykh,RU,49.75,142.8333,32.23,99,100,6.51,snow
179,Constitucion,CL,-35.3333,-72.4167,55.81,67,0,7.54,clear sky
180,Lagos,NG,6.5833,3.75,89.92,59,100,8.34,overcast clouds
