City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
192,San-Pedro,CI,86.34,overcast clouds,4.7485,-6.6363,Hotel Maria
196,Kindu,CD,85.44,broken clouds,-2.95,25.95,Résidence Okanda
199,Vilhena,BR,82.62,clear sky,-12.7406,-60.1458,Hotel Mirage
213,Sao Francisco,BR,89.19,broken clouds,-15.9486,-44.8644,Pousada Peixe Vivo
215,Galesong,ID,80.62,few clouds,-5.3166,119.3661,Sapriadi Appy
216,Calabozo,VE,86.52,clear sky,8.9242,-67.4293,Hotel Giardini
223,Lorengau,PG,80.91,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
230,The Valley,AI,83.1,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
237,Acapulco,MX,81.3,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
240,Kulhudhuffushi,MV,85.48,overcast clouds,6.6221,73.07,Haajy Guest House 1
245,Saldanha,ZA,89.65,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
247,Hambantota,LK,86.34,broken clouds,6.1241,81.1185,Bungalow 63
251,Kavieng,PG,82.45,moderate rain,-2.5744,150.7967,Nusa Island Retreat
252,Safaga,EG,82.9,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
254,Rajpipla,IN,94.32,clear sky,21.8667,73.5,Lal Tower Govt. Guest House
263,Lubao,PH,84.27,overcast clouds,14.9167,120.55,Hacienda Gracia
267,Bolitoc,PH,81.64,broken clouds,15.7395,119.8769,Seasun Beach Resort & Hotel
284,Savannah Bight,HN,81.66,broken clouds,16.45,-85.85,Villa on Dunbar Rock
298,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
306,Hithadhoo,MV,85.46,overcast clouds,-0.6,73.0833,Scoop Guest House
307,Kanigiri,IN,94.6,overcast clouds,15.4,79.5167,COMFORT INN
309,Hurghada,EG,93.24,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
311,Ardakan,IR,84.27,scattered clouds,32.31,54.0175,Ardakan Hotel
323,Boa Vista,BR,84.18,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
331,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
332,Praya,CV,84.74,few clouds,14.9215,-23.5087,LT Aparthotel
335,Thaton,MM,81.5,overcast clouds,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
